;index_x;LLM_score;date;company;index_y;title;symbols;sentiment;ticker
410;409;-1;2022-06-01T17:25:48+00:00;Zillow Group Inc;67580;US real estate stocks: making a turn on housing is flipping difficult;['0ZG.F', '0ZG2.F', 'Z.US', 'ZG.US'];{'polarity': 0, 'neg': 0, 'neu': 1, 'pos': 0};ZG
687;687;1;2022-06-02T11:48:00+00:00;Zillow Group Inc;66793;This Small Change Could Increase Your Home's Selling Price by 2.8%;['0ZG.F', '0ZG2.F', 'Z.US', 'ZG.US'];{'polarity': 0.743, 'neg': 0, 'neu': 0.886, 'pos': 0.114};Z
688;687;1;2022-06-02T11:48:00+00:00;Zillow Group Inc;67579;This Small Change Could Increase Your Home's Selling Price by 2.8%;['0ZG.F', '0ZG2.F', 'Z.US', 'ZG.US'];{'polarity': 0.743, 'neg': 0, 'neu': 0.886, 'pos': 0.114};ZG
742;742;0;2022-06-02T12:00:00+00:00;Zillow Group Inc;66792;Half of Americans cry at least once while buying a home;['0ZG.F', '0ZG2.F', 'Z.US', 'ZG.US'];{'polarity': -0.872, 'neg': 0.068, 'neu': 0.875, 'pos': 0.057};Z
743;742;0;2022-06-02T12:00:00+00:00;Zillow Group Inc;67578;Half of Americans cry at least once while buying a home;['0ZG.F', '0ZG2.F', 'Z.US', 'ZG.US'];{'polarity': -0.872, 'neg': 0.068, 'neu': 0.875, 'pos': 0.057};ZG
842;842;0;2022-06-02T13:15:00+00:00;WesBanco Inc;119143;WesBanco, Inc. Elects Rosie Allen-Herring to its Board of Directors;['WSBC.US', 'WSBCP.US'];{'polarity': 0.998, 'neg': 0, 'neu': 0.852, 'pos': 0.148};WSBC
843;842;0;2022-06-02T13:15:00+00:00;WesBanco Inc;123527;WesBanco, Inc. Elects Rosie Allen-Herring to its Board of Directors;['WSBC.US', 'WSBCP.US'];{'polarity': 0.998, 'neg': 0, 'neu': 0.852, 'pos': 0.148};WSBCP
1034;1034;0;2022-06-02T16:17:00+00:00;Qurate Retail Inc;64193;QVC Survey Reveals the Importance of Size Inclusivity In Swimwear, an On-going Pain Point for Women When Shopping For Swimwear;['LB3A.F', 'QRTEA.US', 'QRTEB.US', 'QRTEP.US'];{'polarity': 0.998, 'neg': 0.026, 'neu': 0.844, 'pos': 0.131};QRTEP
1035;1034;0;2022-06-02T16:17:00+00:00;Qurate Retail Inc;154033;QVC Survey Reveals the Importance of Size Inclusivity In Swimwear, an On-going Pain Point for Women When Shopping For Swimwear;['LB3A.F', 'QRTEA.US', 'QRTEB.US', 'QRTEP.US'];{'polarity': 0.998, 'neg': 0.026, 'neu': 0.844, 'pos': 0.131};QRTEA
1119;1119;1;2022-06-02T19:48:00+00:00;AGNC Investment Corp;62900;Why AGNC Investment's Stock Price Rose 11.4% in May;['4OQ1.F', 'AGNC.US', 'AGNCM.US', 'AGNCN.US', 'AGNCP.US'];{'polarity': 0.934, 'neg': 0, 'neu': 0.829, 'pos': 0.171};AGNCN
1120;1119;1;2022-06-02T19:48:00+00:00;AGNC Investment Corp;64512;Why AGNC Investment's Stock Price Rose 11.4% in May;['4OQ1.F', 'AGNC.US', 'AGNCM.US', 'AGNCN.US', 'AGNCP.US'];{'polarity': 0.934, 'neg': 0, 'neu': 0.829, 'pos': 0.171};AGNCM
1121;1119;1;2022-06-02T19:48:00+00:00;AGNC Investment Corp;67080;Why AGNC Investment's Stock Price Rose 11.4% in May;['4OQ1.F', 'AGNC.US', 'AGNCM.US', 'AGNCN.US', 'AGNCP.US'];{'polarity': 0.934, 'neg': 0, 'neu': 0.829, 'pos': 0.171};AGNCP
1122;1119;1;2022-06-02T19:48:00+00:00;AGNC Investment Corp;85509;Why AGNC Investment's Stock Price Rose 11.4% in May;['4OQ1.F', 'AGNC.US', 'AGNCM.US', 'AGNCN.US', 'AGNCP.US'];{'polarity': 0.934, 'neg': 0, 'neu': 0.829, 'pos': 0.171};AGNC
1278;1278;0;2022-06-03T01:08:10+00:00;Franchise Group Inc;129584;Two suitors submit bids for Kohl's: Wall Street Journal;['COLO-B.CO', 'FRG.US', 'FRGAP.US', 'KHP.F', 'KHP.STU', 'KSS.US'];{'polarity': 0, 'neg': 0, 'neu': 1, 'pos': 0};FRG
1279;1278;0;2022-06-03T01:08:10+00:00;Franchise Group Inc;133367;Two suitors submit bids for Kohl's: Wall Street Journal;['COLO-B.CO', 'FRG.US', 'FRGAP.US', 'KHP.F', 'KHP.STU', 'KSS.US'];{'polarity': 0, 'neg': 0, 'neu': 1, 'pos': 0};FRGAP
1429;1429;-1;2022-06-03T12:43:10+00:00;Zillow Group Inc;66791;Half of US home buyers are crying during the process;['0ZG.F', '0ZG2.F', 'Z.US', 'ZG.US'];{'polarity': -0.527, 'neg': 0.046, 'neu': 0.954, 'pos': 0};Z
1430;1429;-1;2022-06-03T12:43:10+00:00;Zillow Group Inc;67577;Half of US home buyers are crying during the process;['0ZG.F', '0ZG2.F', 'Z.US', 'ZG.US'];{'polarity': -0.527, 'neg': 0.046, 'neu': 0.954, 'pos': 0};ZG
1455;1455;0;2022-06-03T13:00:00+00:00;Qurate Retail Inc;64192;HSN Launches Private Label Farm House Décor Brand, Emryn House;['LB3A.F', 'QRTEA.US', 'QRTEB.US', 'QRTEP.US'];{'polarity': 0.99, 'neg': 0.006, 'neu': 0.914, 'pos': 0.081};QRTEP
1456;1455;0;2022-06-03T13:00:00+00:00;Qurate Retail Inc;154032;HSN Launches Private Label Farm House Décor Brand, Emryn House;['LB3A.F', 'QRTEA.US', 'QRTEB.US', 'QRTEP.US'];{'polarity': 0.99, 'neg': 0.006, 'neu': 0.914, 'pos': 0.081};QRTEA
1504;1504;0;2022-06-03T14:06:32+00:00;Franchise Group Inc;129581;Sycamore, Franchise Group submit bids for Kohl's;['COLO-B.CO', 'FRG.US', 'FRGAP.US', 'KHP.F', 'KHP.STU', 'KSS.US', 'SEGI.US'];{'polarity': 0, 'neg': 0, 'neu': 1, 'pos': 0};FRG
1505;1504;0;2022-06-03T14:06:32+00:00;Franchise Group Inc;133366;Sycamore, Franchise Group submit bids for Kohl's;['COLO-B.CO', 'FRG.US', 'FRGAP.US', 'KHP.F', 'KHP.STU', 'KSS.US', 'SEGI.US'];{'polarity': 0, 'neg': 0, 'neu': 1, 'pos': 0};FRGAP
1677;1677;0;2022-06-03T18:00:00+00:00;First Citizens BancShares Inc;51519;"TBJ Plus: Wake Co. dusts Charlotte; Mack Brown grabs Bald Head home; Bojangles time at UNC";['FC6A.F', 'FCNCA.US', 'FCNCB.US', 'FCNCO.US', 'FCNCP.US'];{'polarity': 0, 'neg': 0, 'neu': 1, 'pos': 0};FCNCA
1678;1677;0;2022-06-03T18:00:00+00:00;First Citizens BancShares Inc;156818;"TBJ Plus: Wake Co. dusts Charlotte; Mack Brown grabs Bald Head home; Bojangles time at UNC";['FC6A.F', 'FCNCA.US', 'FCNCB.US', 'FCNCO.US', 'FCNCP.US'];{'polarity': 0, 'neg': 0, 'neu': 1, 'pos': 0};FCNCO
1679;1677;0;2022-06-03T18:00:00+00:00;First Citizens BancShares Inc;157670;"TBJ Plus: Wake Co. dusts Charlotte; Mack Brown grabs Bald Head home; Bojangles time at UNC";['FC6A.F', 'FCNCA.US', 'FCNCB.US', 'FCNCO.US', 'FCNCP.US'];{'polarity': 0, 'neg': 0, 'neu': 1, 'pos': 0};FCNCP
1757;1757;0;2022-06-03T21:11:24+00:00;Zillow Group Inc;66790;The hot housing market is bringing homebuyers to tears;['0ZG.F', '0ZG2.F', '1AC.F', '2RM.F', '7M2.F', 'CASH.US', 'CCS.US', 'CCT.F', 'DC7.F', 'DC7.XETRA', 'DFS.US', 'FM7.F', 'FM7.STU', 'IVR-PB.US', 'IVR-PC.US', 'IVR.US'];{'polarity': -0.226, 'neg': 0.066, 'neu': 0.934, 'pos': 0};Z
1758;1757;0;2022-06-03T21:11:24+00:00;Zillow Group Inc;67576;The hot housing market is bringing homebuyers to tears;['0ZG.F', '0ZG2.F', '1AC.F', '2RM.F', '7M2.F', 'CASH.US', 'CCS.US', 'CCT.F', 'DC7.F', 'DC7.XETRA', 'DFS.US', 'FM7.F', 'FM7.STU', 'IVR-PB.US', 'IVR-PC.US', 'IVR.US'];{'polarity': -0.226, 'neg': 0.066, 'neu': 0.934, 'pos': 0};ZG
1902;1902;0;2022-06-05T09:06:00+00:00;AGNC Investment Corp;62899;4 Ultra-Cheap, Time-Tested Stocks That Can Turn $300,000 Into $1 Million by 2030;['4OQ1.F', 'AEO.US', 'AFG.F', 'AGNC.US', 'AGNCM.US', 'AGNCN.US', 'AGNCP.US', 'FB.MX', 'FB.US', 'FB2A.F', 'FB2A.XETRA', 'FBOK34.SA', 'W8A.F', 'WBA.US'];{'polarity': 0.296, 'neg': 0.025, 'neu': 0.938, 'pos': 0.037};AGNCN
1903;1902;0;2022-06-05T09:06:00+00:00;AGNC Investment Corp;64511;4 Ultra-Cheap, Time-Tested Stocks That Can Turn $300,000 Into $1 Million by 2030;['4OQ1.F', 'AEO.US', 'AFG.F', 'AGNC.US', 'AGNCM.US', 'AGNCN.US', 'AGNCP.US', 'FB.MX', 'FB.US', 'FB2A.F', 'FB2A.XETRA', 'FBOK34.SA', 'W8A.F', 'WBA.US'];{'polarity': 0.296, 'neg': 0.025, 'neu': 0.938, 'pos': 0.037};AGNCM
1904;1902;0;2022-06-05T09:06:00+00:00;AGNC Investment Corp;67079;4 Ultra-Cheap, Time-Tested Stocks That Can Turn $300,000 Into $1 Million by 2030;['4OQ1.F', 'AEO.US', 'AFG.F', 'AGNC.US', 'AGNCM.US', 'AGNCN.US', 'AGNCP.US', 'FB.MX', 'FB.US', 'FB2A.F', 'FB2A.XETRA', 'FBOK34.SA', 'W8A.F', 'WBA.US'];{'polarity': 0.296, 'neg': 0.025, 'neu': 0.938, 'pos': 0.037};AGNCP
1905;1902;0;2022-06-05T09:06:00+00:00;AGNC Investment Corp;85508;4 Ultra-Cheap, Time-Tested Stocks That Can Turn $300,000 Into $1 Million by 2030;['4OQ1.F', 'AEO.US', 'AFG.F', 'AGNC.US', 'AGNCM.US', 'AGNCN.US', 'AGNCP.US', 'FB.MX', 'FB.US', 'FB2A.F', 'FB2A.XETRA', 'FBOK34.SA', 'W8A.F', 'WBA.US'];{'polarity': 0.296, 'neg': 0.025, 'neu': 0.938, 'pos': 0.037};AGNC
1945;1945;-1;2022-06-05T14:50:54+00:00;FTAI Aviation Ltd;98117;Fortress Transportation and Infrastructure Investors LLC (NASDAQ:FTAI) Shares Could Be 50% Below Their Intrinsic Value Estimate;['FTAI.US', 'FTAIN.US', 'FTAIO.US', 'FTAIP.US'];{'polarity': 0.999, 'neg': 0.022, 'neu': 0.824, 'pos': 0.153};FTAI
1946;1945;-1;2022-06-05T14:50:54+00:00;FTAI Aviation Ltd;108734;Fortress Transportation and Infrastructure Investors LLC (NASDAQ:FTAI) Shares Could Be 50% Below Their Intrinsic Value Estimate;['FTAI.US', 'FTAIN.US', 'FTAIO.US', 'FTAIP.US'];{'polarity': 0.999, 'neg': 0.022, 'neu': 0.824, 'pos': 0.153};FTAIO
1947;1945;-1;2022-06-05T14:50:54+00:00;FTAI Aviation Ltd;109012;Fortress Transportation and Infrastructure Investors LLC (NASDAQ:FTAI) Shares Could Be 50% Below Their Intrinsic Value Estimate;['FTAI.US', 'FTAIN.US', 'FTAIO.US', 'FTAIP.US'];{'polarity': 0.999, 'neg': 0.022, 'neu': 0.824, 'pos': 0.153};FTAIP
1954;1954;-1;2022-06-05T18:12:24+00:00;Zillow Group Inc;66789;The housing market is making most millennial home shoppers burst into tears, survey finds: ‘It’s deeply personal and it’s emotional’;['0ZG.F', '0ZG2.F', 'Z.US', 'ZG.US'];{'polarity': -0.953, 'neg': 0.123, 'neu': 0.823, 'pos': 0.054};Z
1955;1954;-1;2022-06-05T18:12:24+00:00;Zillow Group Inc;67575;The housing market is making most millennial home shoppers burst into tears, survey finds: ‘It’s deeply personal and it’s emotional’;['0ZG.F', '0ZG2.F', 'Z.US', 'ZG.US'];{'polarity': -0.953, 'neg': 0.123, 'neu': 0.823, 'pos': 0.054};ZG
2079;2079;1;2022-06-06T12:00:00+00:00;Solid Power Inc;150931;Solid Power Announces Installation of EV Cell Pilot Line;['SLDP.US', 'SLDPW.US'];{'polarity': 0.996, 'neg': 0.041, 'neu': 0.854, 'pos': 0.105};SLDP
2080;2079;1;2022-06-06T12:00:00+00:00;Solid Power Inc;178075;Solid Power Announces Installation of EV Cell Pilot Line;['SLDP.US', 'SLDPW.US'];{'polarity': 0.996, 'neg': 0.041, 'neu': 0.854, 'pos': 0.105};SLDPW
2105;2105;0;2022-06-06T12:28:21+00:00;Urban One Inc;160060;Urban One may pursue legal action to counter legislative effort to dash Richmond casino;['UA1.F', 'UONE.US', 'UONEK.US'];{'polarity': -0.273, 'neg': 0.1, 'neu': 0.9, 'pos': 0};UONE
2106;2105;0;2022-06-06T12:28:21+00:00;Urban One Inc;160513;Urban One may pursue legal action to counter legislative effort to dash Richmond casino;['UA1.F', 'UONE.US', 'UONEK.US'];{'polarity': -0.273, 'neg': 0.1, 'neu': 0.9, 'pos': 0};UONEK
2169;2169;1;2022-06-06T13:05:00+00:00;Franchise Group Inc;129579;The Vitamin Shoppe Partners with Baranova27 to Donate over Two Tons of Protein Bars and Nutritious Snacks to Communities Impacted by the War in Ukraine;['FRG.US', 'FRGAP.US'];{'polarity': 0.999, 'neg': 0.015, 'neu': 0.759, 'pos': 0.226};FRG
2170;2169;1;2022-06-06T13:05:00+00:00;Franchise Group Inc;133365;The Vitamin Shoppe Partners with Baranova27 to Donate over Two Tons of Protein Bars and Nutritious Snacks to Communities Impacted by the War in Ukraine;['FRG.US', 'FRGAP.US'];{'polarity': 0.999, 'neg': 0.015, 'neu': 0.759, 'pos': 0.226};FRGAP
2236;2236;1;2022-06-06T14:06:28+00:00;AGNC Investment Corp;62898;Seeking at Least 10% Dividend Yield? Analysts Suggest 2 Dividend Stocks to Buy;['4OQ1.F', 'AGNC.US', 'AGNCM.US', 'AGNCN.US', 'AGNCO.US', 'AGNCP.US', 'AJX.US'];{'polarity': 0.998, 'neg': 0.011, 'neu': 0.884, 'pos': 0.106};AGNCN
2237;2236;1;2022-06-06T14:06:28+00:00;AGNC Investment Corp;63939;Seeking at Least 10% Dividend Yield? Analysts Suggest 2 Dividend Stocks to Buy;['4OQ1.F', 'AGNC.US', 'AGNCM.US', 'AGNCN.US', 'AGNCO.US', 'AGNCP.US', 'AJX.US'];{'polarity': 0.998, 'neg': 0.011, 'neu': 0.884, 'pos': 0.106};AGNCO
2238;2236;1;2022-06-06T14:06:28+00:00;AGNC Investment Corp;64510;Seeking at Least 10% Dividend Yield? Analysts Suggest 2 Dividend Stocks to Buy;['4OQ1.F', 'AGNC.US', 'AGNCM.US', 'AGNCN.US', 'AGNCO.US', 'AGNCP.US', 'AJX.US'];{'polarity': 0.998, 'neg': 0.011, 'neu': 0.884, 'pos': 0.106};AGNCM
2239;2236;1;2022-06-06T14:06:28+00:00;AGNC Investment Corp;67078;Seeking at Least 10% Dividend Yield? Analysts Suggest 2 Dividend Stocks to Buy;['4OQ1.F', 'AGNC.US', 'AGNCM.US', 'AGNCN.US', 'AGNCO.US', 'AGNCP.US', 'AJX.US'];{'polarity': 0.998, 'neg': 0.011, 'neu': 0.884, 'pos': 0.106};AGNCP
2240;2236;1;2022-06-06T14:06:28+00:00;AGNC Investment Corp;85507;Seeking at Least 10% Dividend Yield? Analysts Suggest 2 Dividend Stocks to Buy;['4OQ1.F', 'AGNC.US', 'AGNCM.US', 'AGNCN.US', 'AGNCO.US', 'AGNCP.US', 'AJX.US'];{'polarity': 0.998, 'neg': 0.011, 'neu': 0.884, 'pos': 0.106};AGNC
2470;2470;1;2022-06-06T20:30:00+00:00;Fortress Biotech Inc;110402;Checkpoint Therapeutics Announces Presentation of Pivotal Trial Results of Cosibelimab at the 2022 American Society of Clinical Oncology (ASCO) Annual Meeting;['CKPT.US', 'CNB.F', 'FBIO.US', 'FBIOP.US'];{'polarity': 0.96, 'neg': 0.066, 'neu': 0.855, 'pos': 0.079};FBIOP
2471;2470;1;2022-06-06T20:30:00+00:00;Fortress Biotech Inc;177423;Checkpoint Therapeutics Announces Presentation of Pivotal Trial Results of Cosibelimab at the 2022 American Society of Clinical Oncology (ASCO) Annual Meeting;['CKPT.US', 'CNB.F', 'FBIO.US', 'FBIOP.US'];{'polarity': 0.96, 'neg': 0.066, 'neu': 0.855, 'pos': 0.079};FBIO
2498;2498;-1;2022-06-06T21:50:09+00:00;AGNC Investment Corp;62897;AGNC Investment (AGNC) Stock Sinks As Market Gains: What You Should Know;['4OQ1.F', 'AGNC.US', 'AGNCM.US', 'AGNCN.US', 'AGNCP.US'];{'polarity': 0.993, 'neg': 0.022, 'neu': 0.866, 'pos': 0.113};AGNCN
2499;2498;-1;2022-06-06T21:50:09+00:00;AGNC Investment Corp;64509;AGNC Investment (AGNC) Stock Sinks As Market Gains: What You Should Know;['4OQ1.F', 'AGNC.US', 'AGNCM.US', 'AGNCN.US', 'AGNCP.US'];{'polarity': 0.993, 'neg': 0.022, 'neu': 0.866, 'pos': 0.113};AGNCM
2500;2498;-1;2022-06-06T21:50:09+00:00;AGNC Investment Corp;67077;AGNC Investment (AGNC) Stock Sinks As Market Gains: What You Should Know;['4OQ1.F', 'AGNC.US', 'AGNCM.US', 'AGNCN.US', 'AGNCP.US'];{'polarity': 0.993, 'neg': 0.022, 'neu': 0.866, 'pos': 0.113};AGNCP
2501;2498;-1;2022-06-06T21:50:09+00:00;AGNC Investment Corp;85506;AGNC Investment (AGNC) Stock Sinks As Market Gains: What You Should Know;['4OQ1.F', 'AGNC.US', 'AGNCM.US', 'AGNCN.US', 'AGNCP.US'];{'polarity': 0.993, 'neg': 0.022, 'neu': 0.866, 'pos': 0.113};AGNC
2536;2536;0;2022-06-06T23:59:00+00:00;Franchise Group Inc;129577;Franchise Group Enters into Exclusive Negotiations with Kohl’s Corporation;['FRG.US', 'FRGAP.US'];{'polarity': 0.994, 'neg': 0.018, 'neu': 0.897, 'pos': 0.085};FRG
2537;2536;0;2022-06-06T23:59:00+00:00;Franchise Group Inc;133364;Franchise Group Enters into Exclusive Negotiations with Kohl’s Corporation;['FRG.US', 'FRGAP.US'];{'polarity': 0.994, 'neg': 0.018, 'neu': 0.897, 'pos': 0.085};FRGAP
2539;2539;0;2022-06-07T00:30:32+00:00;Zillow Group Inc;66788;Here's where the cost of living is rising the most;['0ZG.F', '0ZG2.F', 'Z.US', 'ZG.US'];{'polarity': 0, 'neg': 0, 'neu': 1, 'pos': 0};Z
2540;2539;0;2022-06-07T00:30:32+00:00;Zillow Group Inc;67574;Here's where the cost of living is rising the most;['0ZG.F', '0ZG2.F', 'Z.US', 'ZG.US'];{'polarity': 0, 'neg': 0, 'neu': 1, 'pos': 0};ZG
2544;2544;1;2022-06-07T01:00:11+00:00;Franchise Group Inc;129574;Kohl’s enters 'exclusive' negotiations for potential sale;['FRG.US', 'FRGAP.US', 'KHP.F', 'KHP.STU', 'KSS.US'];{'polarity': 0.128, 'neg': 0, 'neu': 0.93, 'pos': 0.07};FRG
2545;2544;1;2022-06-07T01:00:11+00:00;Franchise Group Inc;133363;Kohl’s enters 'exclusive' negotiations for potential sale;['FRG.US', 'FRGAP.US', 'KHP.F', 'KHP.STU', 'KSS.US'];{'polarity': 0.128, 'neg': 0, 'neu': 0.93, 'pos': 0.07};FRGAP
2651;2651;1;2022-06-07T11:38:39+00:00;First Citizens BancShares Inc;51518;Triangle's small banks accelerate digital offerings to stay competitive with likes of PNC, First Citizens;['FC6A.F', 'FCNCA.US', 'FCNCB.US', 'FCNCO.US', 'FCNCP.US', 'PNC-PP.US', 'PNC.US', 'PNP.F'];{'polarity': 0.625, 'neg': 0, 'neu': 0.805, 'pos': 0.195};FCNCA
2652;2651;1;2022-06-07T11:38:39+00:00;First Citizens BancShares Inc;156817;Triangle's small banks accelerate digital offerings to stay competitive with likes of PNC, First Citizens;['FC6A.F', 'FCNCA.US', 'FCNCB.US', 'FCNCO.US', 'FCNCP.US', 'PNC-PP.US', 'PNC.US', 'PNP.F'];{'polarity': 0.625, 'neg': 0, 'neu': 0.805, 'pos': 0.195};FCNCO
2653;2651;1;2022-06-07T11:38:39+00:00;First Citizens BancShares Inc;157669;Triangle's small banks accelerate digital offerings to stay competitive with likes of PNC, First Citizens;['FC6A.F', 'FCNCA.US', 'FCNCB.US', 'FCNCO.US', 'FCNCP.US', 'PNC-PP.US', 'PNC.US', 'PNP.F'];{'polarity': 0.625, 'neg': 0, 'neu': 0.805, 'pos': 0.195};FCNCP
2681;2681;0;2022-06-07T12:00:00+00:00;Oxford Lane Capital Corp;93714;Oxford Lane Capital Corp. Provides May Net Asset Value Update;['OXLC.US', 'OXLCL.US', 'OXLCM.US', 'OXLCO.US', 'OXLCP.US', 'OXLCZ.US'];{'polarity': 0.979, 'neg': 0.043, 'neu': 0.868, 'pos': 0.09};OXLCM
2682;2681;0;2022-06-07T12:00:00+00:00;Oxford Lane Capital Corp;94847;Oxford Lane Capital Corp. Provides May Net Asset Value Update;['OXLC.US', 'OXLCL.US', 'OXLCM.US', 'OXLCO.US', 'OXLCP.US', 'OXLCZ.US'];{'polarity': 0.979, 'neg': 0.043, 'neu': 0.868, 'pos': 0.09};OXLCL
2683;2681;0;2022-06-07T12:00:00+00:00;Oxford Lane Capital Corp;131861;Oxford Lane Capital Corp. Provides May Net Asset Value Update;['OXLC.US', 'OXLCL.US', 'OXLCM.US', 'OXLCO.US', 'OXLCP.US', 'OXLCZ.US'];{'polarity': 0.979, 'neg': 0.043, 'neu': 0.868, 'pos': 0.09};OXLC
2684;2681;0;2022-06-07T12:00:00+00:00;Oxford Lane Capital Corp;176143;Oxford Lane Capital Corp. Provides May Net Asset Value Update;['OXLC.US', 'OXLCL.US', 'OXLCM.US', 'OXLCO.US', 'OXLCP.US', 'OXLCZ.US'];{'polarity': 0.979, 'neg': 0.043, 'neu': 0.868, 'pos': 0.09};OXLCP
2691;2691;0;2022-06-07T12:00:00+00:00;Zillow Group Inc;66787;Hot housing market not a bubble, economists say;['0ZG.F', '0ZG2.F', 'Z.US', 'ZG.US'];{'polarity': 0.971, 'neg': 0.073, 'neu': 0.838, 'pos': 0.089};Z
2692;2691;0;2022-06-07T12:00:00+00:00;Zillow Group Inc;67573;Hot housing market not a bubble, economists say;['0ZG.F', '0ZG2.F', 'Z.US', 'ZG.US'];{'polarity': 0.971, 'neg': 0.073, 'neu': 0.838, 'pos': 0.089};ZG
2764;2764;0;2022-06-07T13:00:00+00:00;Chicken Soup for the Soul Entertainment Inc;123077;Crackle Plus Expands Its CTV Ad Inventory with Amagi ADS PLUS FAST Network of Content;['CSSE.US', 'CSSEN.US', 'CSSEP.US'];{'polarity': 0.998, 'neg': 0.022, 'neu': 0.873, 'pos': 0.105};CSSEN
2765;2764;0;2022-06-07T13:00:00+00:00;Chicken Soup for the Soul Entertainment Inc;152298;Crackle Plus Expands Its CTV Ad Inventory with Amagi ADS PLUS FAST Network of Content;['CSSE.US', 'CSSEN.US', 'CSSEP.US'];{'polarity': 0.998, 'neg': 0.022, 'neu': 0.873, 'pos': 0.105};CSSEP
2766;2764;0;2022-06-07T13:00:00+00:00;Chicken Soup for the Soul Entertainment Inc;179128;Crackle Plus Expands Its CTV Ad Inventory with Amagi ADS PLUS FAST Network of Content;['CSSE.US', 'CSSEN.US', 'CSSEP.US'];{'polarity': 0.998, 'neg': 0.022, 'neu': 0.873, 'pos': 0.105};CSSE
2917;2917;0;2022-06-07T15:00:00+00:00;Heartland Financial USA Inc;124011;HTLF releases first DEI Annual Report;['HTLF.US', 'HTLFP.US'];{'polarity': 0.996, 'neg': 0.007, 'neu': 0.845, 'pos': 0.148};HTLF
