Timestamp;Company;shape;Accept
2023-08-17 00:14:41;FTNT;(395, 14);Yes
2023-08-17 00:14:44;ODFL;(395, 14);Yes
2023-08-17 00:14:47;MCHP;(395, 14);Yes
2023-08-17 00:14:49;ADSK;(395, 14);Yes
2023-08-17 00:14:52;PAYX;(395, 14);Yes
2023-08-17 00:14:54;PCAR;(395, 14);Yes
2023-08-17 00:14:56;DXCM;(395, 14);Yes
2023-08-17 00:14:58;CPRT;(395, 14);Yes
2023-08-17 00:15:02;IDXX;(395, 14);Yes
2023-08-17 00:15:04;KHC;(395, 14);Yes
2023-08-17 00:15:06;ON;(395, 14);Yes
2023-08-17 00:15:08;AEP;(395, 14);Yes
2023-08-17 00:15:10;MRVL;(395, 14);Yes
2023-08-17 00:15:12;EXC;(395, 14);Yes
2023-08-17 00:15:14;ROST;(395, 14);Yes
2023-08-17 00:15:16;BIIB;(395, 14);Yes
2023-08-17 00:15:19;FWONK;(395, 14);Yes
2023-08-17 00:15:21;MRNA;(395, 14);Yes
2023-08-17 00:15:23;TTD;(395, 14);Yes
2023-08-17 00:15:25;SGEN;(395, 14);Yes
2023-08-17 00:15:27;CRWD;(395, 14);Yes
2023-08-17 00:15:30;CTSH;(395, 14);Yes
2023-08-17 00:15:32;BKR;(395, 14);Yes
2023-08-17 00:15:34;FWONA;(395, 14);Yes
2023-08-17 00:15:37;CEG;(384, 14);Yes
2023-08-17 00:15:39;VRSK;(395, 14);Yes
2023-08-17 00:15:42;EA;(395, 14);Yes
2023-08-17 00:15:45;CSGP;(395, 14);Yes
2023-08-17 00:15:48;FAST;(395, 14);Yes
2023-08-17 00:15:50;WBD;(395, 14);Yes
2023-08-17 00:15:53;XEL;(395, 14);Yes
2023-08-17 00:15:55;DLTR;(395, 14);Yes
2023-08-17 00:15:58;GFS;(395, 14);Yes
2023-08-17 00:16:00;DDOG;(395, 14);Yes
2023-08-17 00:16:03;ILMN;(395, 14);Yes
2023-08-17 00:16:05;CDW;(395, 14);Yes
2023-08-17 00:16:07;ALGN;(395, 14);Yes
2023-08-17 00:16:11;FANG;(395, 14);Yes
2023-08-17 00:16:13;ANSS;(395, 14);Yes
2023-08-17 00:16:15;BATRA;(395, 14);Yes
2023-08-17 00:16:18;MDB;(395, 14);Yes
2023-08-17 00:16:20;SABRP;(395, 14);No
2023-08-17 00:16:23;HBANP;(373, 14);No
2023-08-17 00:16:26;TROW;(395, 14);Yes
2023-08-17 00:16:28;DKNG;(395, 14);Yes
2023-08-17 00:16:31;NDAQ;(395, 14);Yes
2023-08-17 00:16:33;WBA;(395, 14);Yes
2023-08-17 00:16:35;MPWR;(395, 14);Yes
2023-08-17 00:16:38;SBAC;(395, 14);Yes
2023-08-17 00:16:41;SYM;(395, 14);Yes
2023-08-17 00:16:43;TSCO;(395, 14);Yes
2023-08-17 00:16:45;TTWO;(395, 14);Yes
2023-08-17 00:16:47;EBAY;(395, 14);Yes
2023-08-17 00:16:49;ULTA;(395, 14);Yes
2023-08-17 00:16:51;ALNY;(395, 14);Yes
2023-08-17 00:16:54;FSLR;(395, 14);Yes
2023-08-17 00:16:56;VRSN;(395, 14);Yes
2023-08-17 00:16:58;BATRK;(395, 14);Yes
2023-08-17 00:17:00;FCNCA;(395, 14);Yes
2023-08-17 00:17:02;ZS;(395, 14);Yes
2023-08-17 00:17:04;JBHT;(395, 14);Yes
2023-08-17 00:17:07;RIVN;(395, 14);Yes
2023-08-17 00:17:09;ZM;(395, 14);Yes
2023-08-17 00:17:12;TW;(395, 14);Yes
2023-08-17 00:17:13;COIN;(395, 14);Yes
2023-08-17 00:17:16;ENPH;(395, 14);Yes
2023-08-17 00:17:18;PFG;(395, 14);Yes
2023-08-17 00:17:20;HOLX;(395, 14);Yes
2023-08-17 00:17:22;FITB;(395, 14);Yes
2023-08-17 00:17:25;RPRX;(395, 14);Yes
2023-08-17 00:17:27;SIRI;(395, 14);Yes
2023-08-17 00:17:29;STLD;(395, 14);Yes
2023-08-17 00:17:31;FITBI;(395, 14);No
2023-08-17 00:17:33;LPLA;(395, 14);Yes
2023-08-17 00:17:36;SWKS;(395, 14);Yes
2023-08-17 00:17:38;PTC;(395, 14);Yes
2023-08-17 00:17:40;EXPD;(395, 14);Yes
2023-08-17 00:17:43;WMG;(395, 14);Yes
2023-08-17 00:17:45;UAL;(395, 14);Yes
2023-08-17 00:17:47;BMRN;(395, 14);Yes
2023-08-17 00:17:50;HBAN;(395, 14);Yes
2023-08-17 00:17:52;CINF;(395, 14);Yes
2023-08-17 00:17:54;FITBP;(395, 14);No
2023-08-17 00:17:56;FOXA;(395, 14);Yes
2023-08-17 00:17:59;NTAP;(395, 14);Yes
2023-08-17 00:18:01;SPLK;(395, 14);Yes
2023-08-17 00:18:04;NTRS;(395, 14);Yes
2023-08-17 00:18:06;TER;(395, 14);Yes
2023-08-17 00:18:08;EXPE;(395, 14);Yes
2023-08-17 00:18:10;AKAM;(395, 14);Yes
2023-08-17 00:18:12;PODD;(395, 14);Yes
2023-08-17 00:18:14;FOX;(395, 14);Yes
2023-08-17 00:18:17;LCID;(395, 14);Yes
2023-08-17 00:18:19;AXON;(395, 14);Yes
2023-08-17 00:18:21;EXAS;(395, 14);Yes
2023-08-17 00:18:23;AGNCN;(395, 14);No
2023-08-17 00:18:25;ENTG;(395, 14);Yes
2023-08-17 00:18:27;INCY;(395, 14);Yes
2023-08-17 00:18:29;POOL;(395, 14);Yes
2023-08-17 00:18:32;LKQ;(395, 14);Yes
2023-08-17 00:18:34;SMCI;(395, 14);Yes
2023-08-17 00:18:37;CELH;(395, 14);Yes
2023-08-17 00:18:39;AGNCO;(395, 14);No
2023-08-17 00:18:41;SSNC;(395, 14);Yes
2023-08-17 00:18:44;QRTEP;(395, 14);No
2023-08-17 00:18:46;BSY;(395, 14);Yes
2023-08-17 00:18:48;AGNCM;(395, 14);No
2023-08-17 00:18:51;FITBO;(395, 14);No
2023-08-17 00:18:53;LSXMB;(395, 14);No
2023-08-17 00:18:55;APP;(395, 14);Yes
2023-08-17 00:18:57;TRMB;(395, 14);Yes
2023-08-17 00:19:00;NDSN;(395, 14);Yes
2023-08-17 00:19:02;APA;(395, 14);Yes
2023-08-17 00:19:05;LSXMK;(395, 14);Yes
2023-08-17 00:19:07;WDC;(395, 14);Yes
2023-08-17 00:19:09;LBRDA;(395, 14);Yes
2023-08-17 00:19:11;ZBRA;(395, 14);Yes
2023-08-17 00:19:13;LSXMA;(395, 14);Yes
2023-08-17 00:19:15;LBRDK;(395, 14);Yes
2023-08-17 00:19:17;GEN;(395, 14);Yes
2023-08-17 00:19:19;VTRS;(395, 14);Yes
2023-08-17 00:19:21;TECH;(395, 14);Yes
2023-08-17 00:19:24;ERIE;(395, 14);Yes
2023-08-17 00:19:26;EVRG;(395, 14);Yes
2023-08-17 00:19:28;Z;(395, 14);Yes
2023-08-17 00:19:30;LNT;(395, 14);Yes
2023-08-17 00:19:32;AGNCP;(395, 14);No
2023-08-17 00:19:34;ZG;(395, 14);Yes
2023-08-17 00:19:36;AZPN;(395, 14);Yes
2023-08-17 00:19:38;NWS;(395, 14);Yes
2023-08-17 00:19:41;MTCH;(395, 14);Yes
2023-08-17 00:19:43;JKHY;(395, 14);Yes
2023-08-17 00:19:46;GLPI;(395, 14);Yes
2023-08-17 00:19:48;NWSA;(395, 14);Yes
2023-08-17 00:19:50;LSCC;(395, 14);Yes
2023-08-17 00:19:52;VLYPO;(395, 14);No
2023-08-17 00:19:54;PARAA;(395, 14);Yes
2023-08-17 00:19:56;MANH;(395, 14);Yes
2023-08-17 00:19:59;CZR;(395, 14);Yes
2023-08-17 00:20:02;OKTA;(395, 14);Yes
2023-08-17 00:20:04;ROKU;(395, 14);Yes
2023-08-17 00:20:07;OCCIN;(395, 14);No
2023-08-17 00:20:09;LEGN;(395, 14);Yes
2023-08-17 00:20:11;HST;(395, 14);Yes
2023-08-17 00:20:13;WYNN;(395, 14);Yes
2023-08-17 00:20:15;SAIA;(395, 14);Yes
2023-08-17 00:20:17;CG;(395, 14);Yes
2023-08-17 00:20:19;CHK;(395, 14);Yes
2023-08-17 00:20:21;PCTY;(395, 14);Yes
2023-08-17 00:20:23;CHRW;(395, 14);Yes
2023-08-17 00:20:25;REG;(395, 14);Yes
2023-08-17 00:20:27;LECO;(395, 14);Yes
2023-08-17 00:20:30;UTHR;(395, 14);Yes
2023-08-17 00:20:32;FIVE;(395, 14);Yes
2023-08-17 00:20:34;ARCC;(395, 14);Yes
2023-08-17 00:20:36;LOGI;(395, 14);Yes
2023-08-17 00:20:39;PAA;(395, 14);Yes
2023-08-17 00:20:41;SRPT;(395, 14);Yes
2023-08-17 00:20:43;VLYPP;(395, 14);No
2023-08-17 00:20:46;AAL;(395, 14);Yes
2023-08-17 00:20:48;NBIX;(395, 14);Yes
2023-08-17 00:20:50;OZK;(395, 14);Yes
2023-08-17 00:20:52;CFLT;(395, 14);Yes
2023-08-17 00:20:54;QRVO;(395, 14);Yes
2023-08-17 00:20:56;BRKR;(395, 14);Yes
2023-08-17 00:20:58;HSIC;(395, 14);Yes
2023-08-17 00:21:01;DOCU;(395, 14);Yes
2023-08-17 00:21:03;IBKR;(395, 14);Yes
2023-08-17 00:21:05;DBX;(395, 14);Yes
2023-08-17 00:21:07;ETSY;(395, 14);Yes
2023-08-17 00:21:09;RGEN;(395, 14);Yes
2023-08-17 00:21:11;PARA;(395, 14);Yes
2023-08-17 00:21:13;HOOD;(395, 14);Yes
2023-08-17 00:21:15;OZKAP;(395, 14);No
2023-08-17 00:21:18;IEP;(395, 14);Yes
2023-08-17 00:21:20;FFIV;(395, 14);Yes
2023-08-17 00:21:22;MORN;(395, 14);Yes
2023-08-17 00:21:24;CHDN;(395, 14);Yes
2023-08-17 00:21:27;CASY;(395, 14);Yes
2023-08-17 00:21:29;HAS;(395, 14);Yes
2023-08-17 00:21:31;LAMR;(395, 14);Yes
2023-08-17 00:21:33;TTEK;(395, 14);Yes
2023-08-17 00:21:36;CAR;(395, 14);Yes
2023-08-17 00:21:38;MKTX;(395, 14);Yes
2023-08-17 00:21:40;SWAV;(395, 14);Yes
2023-08-17 00:21:42;CGNX;(395, 14);Yes
2023-08-17 00:21:44;WSC;(395, 14);Yes
2023-08-17 00:21:46;SOFI;(395, 14);Yes
2023-08-17 00:21:48;TPG;(387, 14);Yes
2023-08-17 00:21:50;SEIC;(395, 14);Yes
2023-08-17 00:21:52;MEDP;(395, 14);Yes
2023-08-17 00:21:55;XRAY;(395, 14);Yes
2023-08-17 00:21:57;EWBC;(395, 14);Yes
2023-08-17 00:21:59;MIDD;(395, 14);Yes
2023-08-17 00:22:01;NATI;(395, 14);Yes
2023-08-17 00:22:03;GNTX;(395, 14);Yes
2023-08-17 00:22:05;MAT;(395, 14);Yes
2023-08-17 00:22:08;WWD;(395, 14);Yes
2023-08-17 00:22:10;ALGM;(395, 14);Yes
2023-08-17 00:22:12;RGLD;(395, 14);Yes
2023-08-17 00:22:14;ZI;(395, 14);Yes
2023-08-17 00:22:16;OLED;(395, 14);Yes
2023-08-17 00:22:18;CHX;(395, 14);Yes
2023-08-17 00:22:20;TXRH;(395, 14);Yes
2023-08-17 00:22:22;ACHC;(395, 14);Yes
2023-08-17 00:22:25;LSTR;(395, 14);Yes
2023-08-17 00:22:27;NTNX;(395, 14);Yes
2023-08-17 00:22:29;RCM;(395, 14);Yes
2023-08-17 00:22:31;GTLB;(395, 14);Yes
2023-08-17 00:22:33;LNW;(395, 14);Yes
2023-08-17 00:22:35;EXEL;(395, 14);Yes
2023-08-17 00:22:38;KRTX;(395, 14);Yes
2023-08-17 00:22:40;COKE;(395, 14);Yes
2023-08-17 00:22:42;CCCS;(395, 14);Yes
2023-08-17 00:22:44;FRSH;(395, 14);Yes
2023-08-17 00:22:46;NTRA;(395, 14);Yes
2023-08-17 00:22:48;CBSH;(395, 14);Yes
2023-08-17 00:22:50;LFUS;(395, 14);Yes
2023-08-17 00:22:52;AMKR;(395, 14);Yes
2023-08-17 00:22:54;RETA;(395, 14);Yes
2023-08-17 00:22:57;CHRD;(395, 14);Yes
2023-08-17 00:22:59;MKSI;(395, 14);Yes
2023-08-17 00:23:01;UFPI;(395, 14);Yes
2023-08-17 00:23:03;SPSC;(395, 14);Yes
2023-08-17 00:23:05;CACC;(395, 14);Yes
2023-08-17 00:23:07;IRDM;(395, 14);Yes
2023-08-17 00:23:10;OPCH;(395, 14);Yes
2023-08-17 00:23:12;WFRD;(395, 14);Yes
2023-08-17 00:23:14;AMAM;(395, 14);Yes
2023-08-17 00:23:16;CROX;(395, 14);Yes
2023-08-17 00:23:18;PPC;(395, 14);Yes
2023-08-17 00:23:20;SIGI;(395, 14);Yes
2023-08-17 00:23:22;APPF;(395, 14);Yes
2023-08-17 00:23:24;HQY;(395, 14);Yes
2023-08-17 00:23:26;RMBS;(395, 14);Yes
2023-08-17 00:23:28;MASI;(395, 14);Yes
2023-08-17 00:23:31;REYN;(395, 14);Yes
2023-08-17 00:23:33;TXG;(395, 14);Yes
2023-08-17 00:23:35;AGNC;(395, 14);Yes
2023-08-17 00:23:37;NFE;(395, 14);Yes
2023-08-17 00:23:39;HALO;(395, 14);Yes
2023-08-17 00:23:41;IONS;(395, 14);Yes
2023-08-17 00:23:43;SSB;(395, 14);Yes
2023-08-17 00:23:45;DUOL;(395, 14);Yes
2023-08-17 00:23:47;NXST;(395, 14);Yes
2023-08-17 00:23:49;HCP;(395, 14);Yes
2023-08-17 00:23:51;BOKF;(395, 14);Yes
2023-08-17 00:23:53;NOVT;(395, 14);Yes
2023-08-17 00:23:55;PLUG;(395, 14);Yes
2023-08-17 00:23:57;ACLS;(395, 14);Yes
2023-08-17 00:24:00;HTZ;(395, 14);Yes
2023-08-17 00:24:02;ITCI;(395, 14);Yes
2023-08-17 00:24:04;ZION;(395, 14);Yes
2023-08-17 00:24:06;QLYS;(395, 14);Yes
2023-08-17 00:24:08;ENSG;(395, 14);Yes
2023-08-17 00:24:10;MSTR;(395, 14);Yes
2023-08-17 00:24:12;PNFP;(395, 14);Yes
2023-08-17 00:24:14;MTSI;(395, 14);Yes
2023-08-17 00:24:16;AUR;(395, 14);Yes
2023-08-17 00:24:18;NSIT;(395, 14);Yes
2023-08-17 00:24:21;TENB;(395, 14);Yes
2023-08-17 00:24:23;AAON;(395, 14);Yes
2023-08-17 00:24:25;BECN;(395, 14);Yes
2023-08-17 00:24:27;BBIO;(395, 14);Yes
2023-08-17 00:24:29;ALTR;(395, 14);Yes
2023-08-17 00:24:32;LANC;(395, 14);Yes
2023-08-17 00:24:34;NEOG;(395, 14);Yes
2023-08-17 00:24:36;QDEL;(395, 14);Yes
2023-08-17 00:24:38;FIZZ;(395, 14);Yes
2023-08-17 00:24:41;WTFC;(395, 14);Yes
2023-08-17 00:24:43;HLNE;(395, 14);Yes
2023-08-17 00:24:45;FIVN;(395, 14);Yes
2023-08-17 00:24:47;BPOP;(395, 14);Yes
2023-08-17 00:24:49;IAC;(395, 14);Yes
2023-08-17 00:24:52;WING;(395, 14);Yes
2023-08-17 00:24:54;VLY;(395, 14);Yes
2023-08-17 00:24:56;IPGP;(395, 14);Yes
2023-08-17 00:24:58;ONB;(395, 14);Yes
2023-08-17 00:25:00;POWI;(395, 14);Yes
2023-08-17 00:25:02;SHC;(395, 14);Yes
2023-08-17 00:25:04;EXLS;(395, 14);Yes
2023-08-17 00:25:06;LNTH;(395, 14);Yes
2023-08-17 00:25:08;FOXF;(395, 14);Yes
2023-08-17 00:25:11;CWST;(395, 14);Yes
2023-08-17 00:25:13;ACT;(395, 14);Yes
2023-08-17 00:25:15;RRR;(395, 14);Yes
2023-08-17 00:25:17;COLM;(395, 14);Yes
2023-08-17 00:25:20;OLLI;(395, 14);Yes
2023-08-17 00:25:22;VNOM;(395, 14);Yes
2023-08-17 00:25:24;ACAD;(395, 14);Yes
2023-08-17 00:25:26;WEN;(395, 14);Yes
2023-08-17 00:25:28;EXPO;(395, 14);Yes
2023-08-17 00:25:30;AFRM;(395, 14);Yes
2023-08-17 00:25:32;SLAB;(395, 14);Yes
2023-08-17 00:25:35;UBSI;(395, 14);Yes
2023-08-17 00:25:37;BCPC;(395, 14);Yes
2023-08-17 00:25:39;SYNH;(395, 14);Yes
2023-08-17 00:25:42;FFIN;(395, 14);Yes
2023-08-17 00:25:44;CRUS;(395, 14);Yes
2023-08-17 00:25:46;LYFT;(395, 14);Yes
2023-08-17 00:25:48;IPAR;(395, 14);Yes
2023-08-17 00:25:50;NWL;(395, 14);Yes
2023-08-17 00:25:52;FELE;(395, 14);Yes
2023-08-17 00:25:54;ASO;(395, 14);Yes
2023-08-17 00:25:57;COLB;(395, 14);Yes
2023-08-17 00:25:59;SGRY;(395, 14);Yes
2023-08-17 00:26:01;FYBR;(395, 14);Yes
2023-08-17 00:26:04;PCVX;(395, 14);Yes
2023-08-17 00:26:06;OXLCM;(395, 14);No
2023-08-17 00:26:08;SRCL;(395, 14);Yes
2023-08-17 00:26:10;FCFS;(395, 14);Yes
2023-08-17 00:26:12;FLNC;(395, 14);Yes
2023-08-17 00:26:14;NTRSO;(395, 14);No
2023-08-17 00:26:16;AEIS;(395, 14);Yes
2023-08-17 00:26:18;GH;(395, 14);Yes
2023-08-17 00:26:20;AVT;(395, 14);Yes
2023-08-17 00:26:22;EEFT;(395, 14);Yes
2023-08-17 00:26:24;RELY;(395, 14);Yes
2023-08-17 00:26:26;PECO;(395, 14);Yes
2023-08-17 00:26:29;DISH;(395, 14);Yes
2023-08-17 00:26:31;TFSL;(395, 14);Yes
2023-08-17 00:26:33;EXTR;(395, 14);Yes
2023-08-17 00:26:35;OXLCL;(395, 14);No
2023-08-17 00:26:37;FOCS;(395, 14);Yes
2023-08-17 00:26:39;NARI;(395, 14);Yes
2023-08-17 00:26:41;BRZE;(395, 14);Yes
2023-08-17 00:26:43;PYCR;(395, 14);Yes
2023-08-17 00:26:46;BLKB;(395, 14);Yes
2023-08-17 00:26:48;APLS;(395, 14);Yes
2023-08-17 00:26:50;PEGA;(395, 14);Yes
2023-08-17 00:26:52;MMSI;(395, 14);Yes
2023-08-17 00:26:54;VC;(395, 14);Yes
2023-08-17 00:26:56;SFM;(395, 14);Yes
2023-08-17 00:26:58;PCH;(395, 14);Yes
2023-08-17 00:27:00;CNXC;(395, 14);Yes
2023-08-17 00:27:03;VSAT;(395, 14);Yes
2023-08-17 00:27:05;FRPT;(395, 14);Yes
2023-08-17 00:27:07;COOP;(395, 14);Yes
2023-08-17 00:27:09;FOLD;(395, 14);Yes
2023-08-17 00:27:11;OTTR;(395, 14);Yes
2023-08-17 00:27:13;ZIONO;(395, 14);No
2023-08-17 00:27:15;PENN;(395, 14);Yes
2023-08-17 00:27:17;IMGN;(395, 14);Yes
2023-08-17 00:27:19;CRVL;(395, 14);Yes
2023-08-17 00:27:21;GT;(395, 14);Yes
2023-08-17 00:27:23;ZIONL;(395, 14);No
2023-08-17 00:27:25;DIOD;(395, 14);Yes
2023-08-17 00:27:28;HWC;(395, 14);Yes
2023-08-17 00:27:30;PGNY;(395, 14);Yes
2023-08-17 00:27:32;SHLS;(395, 14);Yes
2023-08-17 00:27:34;SYNA;(395, 14);Yes
2023-08-17 00:27:36;SMPL;(395, 14);Yes
2023-08-17 00:27:38;RUN;(395, 14);Yes
2023-08-17 00:27:40;RUSHB;(395, 14);Yes
2023-08-17 00:27:42;IRTC;(395, 14);Yes
2023-08-17 00:27:44;IART;(395, 14);Yes
2023-08-17 00:27:46;APPN;(395, 14);Yes
2023-08-17 00:27:49;ARRY;(395, 14);Yes
2023-08-17 00:27:51;FTAI;(395, 14);Yes
2023-08-17 00:27:53;LITE;(395, 14);Yes
2023-08-17 00:27:55;EXPI;(395, 14);Yes
2023-08-17 00:27:57;CERE;(395, 14);Yes
2023-08-17 00:27:59;DHCNL;(395, 14);No
2023-08-17 00:28:01;CCOI;(395, 14);Yes
2023-08-17 00:28:03;UCBI;(395, 14);Yes
2023-08-17 00:28:05;ICUI;(395, 14);Yes
2023-08-17 00:28:07;NTLA;(395, 14);Yes
2023-08-17 00:28:10;RUSHA;(395, 14);Yes
2023-08-17 00:28:12;FLYW;(395, 14);Yes
2023-08-17 00:28:14;AXSM;(395, 14);Yes
2023-08-17 00:28:16;URBN;(395, 14);Yes
2023-08-17 00:28:18;AZTA;(395, 14);Yes
2023-08-17 00:28:20;KRYS;(395, 14);Yes
2023-08-17 00:28:22;DNLI;(395, 14);Yes
2023-08-17 00:28:24;VRNS;(395, 14);Yes
2023-08-17 00:28:26;PDCO;(395, 14);Yes
2023-08-17 00:28:28;SLM;(395, 14);Yes
2023-08-17 00:28:31;GO;(395, 14);Yes
2023-08-17 00:28:33;VICR;(395, 14);Yes
2023-08-17 00:28:35;LOPE;(395, 14);Yes
2023-08-17 00:28:37;UMBF;(395, 14);Yes
2023-08-17 00:28:39;PRTA;(395, 14);Yes
2023-08-17 00:28:41;RVMD;(395, 14);Yes
2023-08-17 00:28:43;VRRM;(395, 14);Yes
2023-08-17 00:28:46;JJSF;(395, 14);Yes
2023-08-17 00:28:48;STEP;(395, 14);Yes
2023-08-17 00:28:50;LBRDP;(395, 14);No
2023-08-17 00:28:52;ITRI;(395, 14);Yes
2023-08-17 00:28:54;BANF;(395, 14);Yes
2023-08-17 00:28:56;INSM;(395, 14);Yes
2023-08-17 00:28:58;BHF;(395, 14);Yes
2023-08-17 00:29:01;MDGL;(395, 14);Yes
2023-08-17 00:29:03;CORT;(395, 14);Yes
2023-08-17 00:29:05;BL;(395, 14);Yes
2023-08-17 00:29:07;NWE;(395, 14);Yes
2023-08-17 00:29:09;PINC;(395, 14);Yes
2023-08-17 00:29:11;PRVA;(395, 14);Yes
2023-08-17 00:29:13;LGIH;(395, 14);Yes
2023-08-17 00:29:15;SANM;(395, 14);Yes
2023-08-17 00:29:17;ZD;(395, 14);Yes
2023-08-17 00:29:19;ARWR;(395, 14);Yes
2023-08-17 00:29:22;PTCT;(395, 14);Yes
2023-08-17 00:29:24;PAGP;(395, 14);Yes
2023-08-17 00:29:26;BPMC;(395, 14);Yes
2023-08-17 00:29:28;PTEN;(395, 14);Yes
2023-08-17 00:29:30;TWNK;(395, 14);Yes
2023-08-17 00:29:33;CVLT;(395, 14);Yes
2023-08-17 00:29:35;CYTK;(395, 14);Yes
2023-08-17 00:29:38;RPD;(395, 14);Yes
2023-08-17 00:29:41;VIRT;(395, 14);Yes
2023-08-17 00:29:43;AXNX;(395, 14);Yes
2023-08-17 00:29:45;RKLB;(395, 14);Yes
2023-08-17 00:29:47;LFST;(395, 14);Yes
2023-08-17 00:29:49;AMED;(395, 14);Yes
2023-08-17 00:29:51;TCBI;(395, 14);Yes
2023-08-17 00:29:53;WDFC;(395, 14);Yes
2023-08-17 00:29:55;MQ;(395, 14);Yes
2023-08-17 00:29:57;OMCL;(395, 14);Yes
2023-08-17 00:29:59;GDRX;(395, 14);Yes
2023-08-17 00:30:02;ABCB;(395, 14);Yes
2023-08-17 00:30:04;HTZWW;(395, 14);No
2023-08-17 00:30:06;ZIONP;(395, 14);No
2023-08-17 00:30:08;VERX;(395, 14);Yes
2023-08-17 00:30:10;FIBK;(395, 14);Yes
2023-08-17 00:30:12;SITM;(395, 14);Yes
2023-08-17 00:30:14;UPST;(395, 14);Yes
2023-08-17 00:30:16;CSWI;(395, 14);Yes
2023-08-17 00:30:19;SBRA;(395, 14);Yes
2023-08-17 00:30:21;PACB;(395, 14);Yes
2023-08-17 00:30:23;LTRPB;(395, 14);No
2023-08-17 00:30:25;ALRM;(395, 14);Yes
2023-08-17 00:30:27;AMBA;(395, 14);Yes
2023-08-17 00:30:29;BRP;(395, 14);Yes
2023-08-17 00:30:32;IBOC;(395, 14);Yes
2023-08-17 00:30:34;WERN;(395, 14);Yes
2023-08-17 00:30:36;NCNO;(395, 14);Yes
2023-08-17 00:30:39;POWWP;(395, 14);No
2023-08-17 00:30:41;SCPL;(395, 14);Yes
2023-08-17 00:30:44;WIRE;(395, 14);Yes
2023-08-17 00:30:46;FTDR;(395, 14);Yes
2023-08-17 00:30:49;IMVT;(395, 14);Yes
2023-08-17 00:30:51;FROG;(395, 14);Yes
2023-08-17 00:30:53;RTLPP;(395, 14);No
2023-08-17 00:30:55;CERT;(395, 14);Yes
2023-08-17 00:30:57;PTON;(395, 14);Yes
2023-08-17 00:31:00;MGPI;(395, 14);Yes
2023-08-17 00:31:02;RIOT;(395, 14);Yes
2023-08-17 00:31:05;RARE;(395, 14);Yes
2023-08-17 00:31:07;MGEE;(395, 14);Yes
2023-08-17 00:31:09;HUBG;(395, 14);Yes
2023-08-17 00:31:11;DORM;(395, 14);Yes
2023-08-17 00:31:13;PZZA;(395, 14);Yes
2023-08-17 00:31:16;IOSP;(395, 14);Yes
